Timestamps,Channel 0,Channel 1,Channel 2,Fx,Fy,Fz,Tx,Ty,Tz
0,-0.13439316848354,4.43303166263364,-0.0273145233440995,-0.862445011782231,-5.87636261548523,23.0661444122712,-0.720915487542636,-0.187732812079049,-0.102034286039668
0.00100000000000033,-0.139909340291041,4.43919689883433,-0.0234207538550669,-0.880191565483574,-5.82790342517547,23.0114772675691,-0.716615995971689,-0.1865011758911,-0.102097958863375
0.00199999999999978,-0.147696876824455,4.43562755153857,-0.0230962730624818,-0.849055092017062,-5.84850542803616,23.1363080085453,-0.718254963613326,-0.188573011630691,-0.100743160489476
0.00300000000000011,-0.150617202983475,4.43952138495508,-0.0224473114764657,-0.879258191182348,-5.83260758990052,23.1032901542981,-0.716651195155976,-0.186827472739021,-0.101775145796717
0.00400000000000045,-0.157106816590176,4.43303166263364,-0.0276390041330203,-0.85924123924446,-5.81962936805925,23.1093284828105,-0.715638527789658,-0.18851800708913,-0.10229086938986
0.00500000000000078,-0.157431297267616,4.43757446823795,-0.0276390041330203,-0.856306830642031,-5.82555850727967,23.1332328356195,-0.716060112325174,-0.188292640480309,-0.101783673372169
0.00600000000000023,-0.162947468741934,4.43724998212016,-0.0217983498893215,-0.872347269156365,-5.82663385340931,23.214486982099,-0.715883770734253,-0.186838197749402,-0.101488606632029
0.00700000000000056,-0.164245391430206,4.43562755153857,-0.0260166001855984,-0.882691131785961,-5.83459874000207,23.0740625785271,-0.716870685210236,-0.185898165491875,-0.102679113709197
0.0080000000000009,-0.168463640136671,4.43660100988605,-0.0276390041330203,-0.877919724367971,-5.84803162963278,23.1399230817136,-0.718304234591269,-0.186022499728603,-0.101502877099114
0.00900000000000034,-0.168463640136671,4.43822344047503,-0.0263410809756464,-0.874416905478364,-5.83098980308158,23.2562742904448,-0.716176193110448,-0.187465316039355,-0.101362876935924
0.0100000000000007,-0.163920910758551,4.44860699653634,-0.0153087339558112,-0.852032529776387,-5.81516690457524,23.0708565803476,-0.715344543536961,-0.188870624630183,-0.102753059775526
0.0110000000000001,-0.169761562806229,4.43497857930938,-0.0263410809756464,-0.863780486425446,-5.83395294998129,23.0597449862842,-0.717225414778119,-0.187463675710869,-0.101680851977558
0.0120000000000005,-0.173330850124823,4.43140923208408,-0.0260166001855984,-0.873324781053394,-5.82791437685855,23.1232483238891,-0.716393031847016,-0.186572429434598,-0.10093662264718
0.0130000000000008,-0.171383966136987,4.43984587107633,-0.0221228306830346,-0.876533168216646,-5.88145221324963,23.0516678115945,-0.721198062762592,-0.186328767615337,-0.102206296325477
0.0140000000000002,-0.168463640136671,4.43757446823795,-0.0266655617654126,-0.877452371726608,-5.83319313335761,23.2796023782879,-0.717022330934917,-0.186251988452032,-0.101226066200729
0.0150000000000006,-0.165218833443519,4.43984587107633,-0.0237452346473701,-0.871649980166295,-5.81888298869672,23.114827604966,-0.715374929711893,-0.187220259783555,-0.101781375933535
